Location Name,Type,Address,Coordinates
Kauno LEZ,#poly-F8971B-3001-89,"Terminalo g.3 Biruliškės, Kaunas","24.0049982, 54.9429827; 24.0035712, 54.9423172; 24.0041614, 54.9419166; 24.005599, 54.9425637; 24.0049982, 54.9429827"
"PC Rimi, Europos pr.",#icon-503-DB4436,"PC Rimi, Europos pr. 43","23.912685, 54.875421"
"PC ""Iki"", Veiverių g.",#icon-503-DB4436,"Veiverių g. 150A, Kaunas, Lietuva","23.8863346, 54.8624486"
Veiverių g. 142A.,#icon-503-DB4436,"Veiverių g., 142A., Kaunas, Lietuva","23.8894621, 54.871023"
"PC ""Maxima"", Vaidoto g.",#icon-503-DB4436,"Vaidoto g. 159, Kaunas, Lietuva.","23.9584619, 54.8615656"
Panemunės turgaus aikštė,#icon-503-DB4436,"Vaidoto g. 80, Kaunas, Lietuva","23.9634937, 54.8638888"
PC „Maxima“ Raudondvario pl.,#icon-503-DB4436,"Raudondvario pl. 284A, Kaunas, Lietuva.","23.8208753, 54.9209178"
PC „Iki“ S.Lozaraičio g.,#icon-503-DB4436,"PC „Iki“ S. Lozoraičio g. 2, Garliava, Lietuva.","23.8759223, 54.8322992"
PC „Maxima“ Raudondvario pl.,#poly-F8971B-1200-76,,"23.8200116, 54.9212816; 23.819958, 54.920702; 23.8215244, 54.920665; 23.8215888, 54.9212261; 23.8200116, 54.9212816"
PC „Iki“ S.Lozaraičio g.,#poly-F8971B-1200-76,,"23.8756943, 54.8326144; 23.8753617, 54.8317492; 23.8758659, 54.8316813; 23.8760269, 54.8320706; 23.8764131, 54.8320211; 23.8767135, 54.8322065; 23.8756943, 54.8326144"
PC „IKI“ Veiverių g.,#poly-F8971B-1200-76,,"23.8858008, 54.8625705; 23.8856882, 54.8623112; 23.8864124, 54.8622062; 23.8865733, 54.8626261; 23.8861656, 54.8626817; 23.8861227, 54.862552; 23.8858008, 54.8625705"
Žaliakalnis,#poly-F8971B-1200-76,,"23.9293277, 54.9032084; 23.929097, 54.9031344; 23.9294135, 54.9026718; 23.9313125, 54.9029463; 23.9311409, 54.9016439; 23.9347726, 54.8939236; 23.9402013, 54.8896877; 23.9474484, 54.8956124; 23.9532101, 54.8965958; 23.9557635, 54.8974116; 23.9587353, 54.8983384; 23.958714, 54.900488; 23.949638, 54.9044813; 23.9411621, 54.908203; 23.932085, 54.9064962; 23.9313071, 54.9032238; 23.9293277, 54.9032084"
Kauno Sporto Halė,#poly-F8971B-1200-76,,"23.9343756, 54.8958517; 23.9352983, 54.895864; 23.9339948, 54.8966692; 23.9334798, 54.8964625; 23.9343756, 54.8958517"
PC „Maxima“ Vaidoto g.,#poly-F8971B-1200-76,,"23.957389, 54.8613664; 23.9575338, 54.8611827; 23.9580595, 54.8613402; 23.9583251, 54.8610515; 23.9585397, 54.8611179; 23.9582634, 54.8613988; 23.958832, 54.8615532; 23.9586604, 54.861757; 23.957389, 54.8613664"
Panemunės turgaus aikštė,#poly-F8971B-1200-76,,"23.9625335, 54.8632281; 23.9627051, 54.8631664; 23.9636922, 54.8639012; 23.9639711, 54.8637592; 23.9641106, 54.8638147; 23.9635849, 54.8640741; 23.9625335, 54.8632281"
"Kauno oro uostas, Unipark aikštelė",#poly-F8971B-1200-76,,"24.0694892, 54.9701812; 24.0710986, 54.9689618; 24.0715706, 54.9691589; 24.0710557, 54.9698363; 24.0702081, 54.9704522; 24.0694892, 54.9701812"
Kauno centras,#poly-F8971B-1200-76,,"23.930199, 54.8647603; 23.9320621, 54.8619095; 23.9370615, 54.8601151; 23.94515, 54.8600501; 23.9504262, 54.8612537; 23.9520747, 54.8632964; 23.9580938, 54.868056; 23.9449856, 54.8737329; 23.9361084, 54.8843681; 23.9366018, 54.8851858; 23.9370525, 54.8859541; 23.9377177, 54.8868706; 23.9402013, 54.8896877; 23.9347726, 54.8939236; 23.9294296, 54.8953705; 23.9285123, 54.895972; 23.9231855, 54.8998557; 23.9173865, 54.9012375; 23.9153641, 54.90129; 23.9151925, 54.9012221; 23.9145327, 54.9009445; 23.9126552, 54.9010185; 23.911593, 54.9010925; 23.9094257, 54.9012159; 23.9075911, 54.9005219; 23.9015991, 54.8982362; 23.8985682, 54.8983781; 23.8984394, 54.8986249; 23.8985252, 54.8991184; 23.896637, 54.8992418; 23.896181, 54.8990999; 23.8959289, 54.8990136; 23.8954353, 54.8986249; 23.8948882, 54.8986835; 23.8944912, 54.898773; 23.8941478, 54.8990506; 23.8937188, 54.8993096; 23.8932037, 54.8996367; 23.89359, 54.9006484; 23.892324, 54.901037; 23.889513, 54.9019315; 23.8845134, 54.9010371; 23.8805652, 54.9003462; 23.8793015, 54.9001057; 23.8751686, 54.9000253; 23.8742673, 54.900013; 23.8737309, 54.8999883; 23.8727359, 54.8999818; 23.8816488, 54.8954506; 23.8826358, 54.8950866; 23.8845509, 54.8948337; 23.8867664, 54.8947565; 23.8912296, 54.8947936; 23.8930857, 54.8946732; 23.8982731, 54.89401; 23.8999683, 54.8939915; 23.9015615, 54.8940593; 23.904056, 54.8944234; 23.9081275, 54.8943987; 23.9106059, 54.8941457; 23.9137977, 54.8934516; 23.914994, 54.8929117; 23.9153105, 54.89285; 23.9183199, 54.8927883; 23.9184648, 54.8927297; 23.9184165, 54.8924921; 23.9185721, 54.8924088; 23.9198703, 54.892378; 23.9198864, 54.8921651; 23.9201117, 54.8920787; 23.9206481, 54.8920046; 23.9204121, 54.8895025; 23.9192962, 54.8891045; 23.9215064, 54.8868397; 23.9234537, 54.8849514; 23.92524, 54.8836522; 23.9274394, 54.8818902; 23.9287054, 54.8806434; 23.9295531, 54.8786004; 23.9294779, 54.8755079; 23.9293216, 54.8725518; 23.9292434, 54.8691969; 23.930199, 54.8647603"
"PC ""Mega""",#poly-F8971B-1200-76,"Islandijos pl. 32, Kaunas.","23.8883007, 54.9393775; 23.8880485, 54.9393744; 23.8879895, 54.9392974; 23.8880485, 54.9392142; 23.8887352, 54.9390046; 23.8897705, 54.9387704; 23.8914549, 54.9383883; 23.8936168, 54.9382866; 23.8968998, 54.938114; 23.8972002, 54.9381233; 23.8975006, 54.9381911; 23.8977367, 54.9384931; 23.8977367, 54.9385547; 23.897683, 54.9385917; 23.8951349, 54.9385054; 23.8925493, 54.9388259; 23.8883007, 54.9393775"
"PC ""Mega""",#icon-503-DB4436,"Islandijos pl. 32, Kaunas, Lietuva","23.8923926, 54.9386317"
Seniavos plentas 5,#poly-F8971B-1200-76,"Seniavos plentas 5, Kaunas, Lietuva","23.8888612, 54.8678096; 23.888711, 54.8673403; 23.889631, 54.8671952; 23.8896954, 54.8673743; 23.8888612, 54.8678096"
Seniavos plentas 5,#icon-503-DB4436,"Seniavos plentas 5, Kaunas, Lietuva","23.8890892, 54.8674793"
"PC ""Maxima"", Gėlių g.",#poly-F8971B-1200-76,"Gėlių g. 2, Ringaudai, Lietuva","23.8036233, 54.8904281; 23.8034838, 54.8897216; 23.8039988, 54.8896876; 23.8051575, 54.8901288; 23.8052005, 54.8902985; 23.8036233, 54.8904281"
"PC ""Maxima"", Gėlių g.",#icon-503-DB4436,"Gėlių g. 2, Ringaudai, Lietuva","23.8042134, 54.8901134"
"PC ""Rimi"", Romainių g.",#poly-F8971B-1200-76,"Romainių g. 67, Kaunas, Lietuva","23.8124692, 54.9431122; 23.8130701, 54.9431122; 23.8130701, 54.9427763; 23.8125014, 54.9427732; 23.8125122, 54.9425514; 23.8133919, 54.9425637; 23.813349, 54.9432601; 23.8124692, 54.9432601; 23.8124692, 54.9431122"
"PC ""Rimi"", Romainių g.",#icon-503-DB4436,"Romainių g. 67, Kaunas, Lietuva","23.8131988, 54.9429334"
Kalniečiai,#poly-F8971B-1200-76,"Kalniečiai, Kaunas","23.9212704, 54.9236647; 23.918395, 54.9236523; 23.9117431, 54.9237387; 23.9095759, 54.9166477; 23.9095545, 54.9158214; 23.9152622, 54.9148594; 23.9223862, 54.9129352; 23.9308834, 54.9133793; 23.9364624, 54.9123925; 23.9499163, 54.9179426; 23.9477921, 54.9195459; 23.9492512, 54.9201378; 23.9474487, 54.921519; 23.9289951, 54.9240346; 23.9283085, 54.9235907; 23.9212704, 54.9236647"
Eiguliai,#poly-F8971B-1200-76,"Eiguliai, Kaunas","23.9117431, 54.9237387; 23.928287, 54.9235907; 23.9289736, 54.9240346; 23.9384633, 54.9227986; 23.9391124, 54.9231902; 23.9380074, 54.9240226; 23.9406039, 54.9249474; 23.9416983, 54.924343; 23.9399548, 54.9235507; 23.9386405, 54.9227584; 23.9474272, 54.921519; 23.9510321, 54.9187566; 23.9704299, 54.9276351; 23.9681124, 54.9291639; 23.9687132, 54.9304955; 23.9672541, 54.9309393; 23.9438223, 54.9316297; 23.9430499, 54.9322708; 23.9430499, 54.9337995; 23.9123225, 54.9331092; 23.9122367, 54.9316051; 23.912111, 54.9292047; 23.9118076, 54.9261555; 23.9117431, 54.9237387"
